"firm","employee","sex","age","staging.date","months.enrolled","debt"
"100/QT546",54950,"Male",31,2016-10-01,25,6334.02
"100/QT546",54951,"Male",51,2016-10-01,25,5073.75
"100/QT546",54952,"Male",43,2016-10-01,25,0
"100/QT559",15775,"Male",54,2017-01-01,22,1776.3
"100/QT559",15776,"Female",29,2017-01-01,22,0
"100/QT559",15777,"Male",30,2017-01-01,22,176.16
"100/SP561",10747,"Female",36,2017-01-01,22,0
"100/SP561",10748,"Male",44,2017-01-01,22,1358.46
"100/SP561",10749,"Male",41,2017-01-01,22,1804.25
"100/SP561",10750,"Female",37,2017-01-01,22,0
"100/SP561",10751,"Female",23,2017-01-01,22,3423.78
"100/SP561",10752,"Female",35,2017-01-01,22,759.72
"100/SP561",10753,"Male",34,2017-01-01,22,4473.41
"100/SP561",10754,"Male",47,2017-01-01,22,0
"100/UX617",32064,"Male",28,2016-06-01,29,0
"100/UX617",32065,"Male",48,2016-06-01,29,3351.92
"100/WE444",46576,"Female",59,2016-10-01,25,0
"100/WE444",46577,"Female",46,2016-10-01,25,718.82
"100/WE444",46578,"Male",30,2016-10-01,25,444
"100/WE444",46579,"Female",47,2016-10-01,25,0
"100/WE444",46580,"Female",42,2016-10-01,25,1210.39
"100/WW427",60021,"Female",33,2016-07-01,28,0
"100/WW427",60022,"Male",34,2016-07-01,28,0
"100/WW427",60023,"Male",47,2016-07-01,28,0
"100/WW427",60024,"Female",49,2016-07-01,28,2075.95
"100/WW427",60025,"Female",48,2016-07-01,28,642.08
"100/WW427",60026,"Female",31,2016-07-01,28,491.25
"100/WW427",60027,"Female",54,2016-07-01,28,2418.8
"100/WW427",60028,"Male",32,2016-07-01,28,454.49
"100/YV430",20122,"Male",46,2016-08-01,27,0
"100/YV430",20123,"Male",40,2016-08-01,27,3256.97
"100/YV430",20124,"Male",27,2016-08-01,27,1230.08
"100/ZP432",7191,"Male",36,2016-08-01,27,0
"100/ZP432",7192,"Female",23,2016-08-01,27,977.1
"100/ZP432",7193,"Male",62,2016-08-01,27,760.21
"100/ZP432",7194,"Male",55,2016-08-01,27,3140.37
"101/EE101",14823,"Female",36,2016-03-01,32,597.31
"101/EE101",14824,"Male",36,2016-03-01,32,2364.09
"101/EE101",14825,"Female",46,2016-03-01,32,0
"101/EE101",14826,"Female",40,2016-03-01,32,1002.26
"101/EE101",14827,"Male",32,2016-03-01,32,0
"101/EH555",69113,"Male",25,2016-11-01,24,543.68
"101/EH555",69114,"Female",35,2016-11-01,24,3999.97
"101/EH555",69115,"Male",43,2016-11-01,24,4089.03
"101/EN125",25796,"Male",37,2016-07-01,28,633.87
"101/EN125",25797,"Male",59,2016-07-01,28,1073.9
"101/EN125",25798,"Female",46,2016-07-01,28,1317.25
"101/EN125",25799,"Male",41,2016-07-01,28,0
"101/IR947",8117,"Male",63,2016-11-01,24,0
"101/IR947",8118,"Male",27,2016-11-01,24,1188.27
"101/IR947",8119,"Male",38,2016-11-01,24,0
"101/IR947",8120,"Female",36,2016-11-01,24,0
"101/IR947",8121,"Male",48,2016-11-01,24,0
"101/IR947",8122,"Female",41,2016-11-01,24,4494.13
"101/LD343",55384,"Female",39,2016-10-01,25,1124.08
"101/LD343",55385,"Female",30,2016-10-01,25,761.95
"101/LD343",55386,"Male",51,2016-10-01,25,686.05
"101/LD343",55387,"Female",49,2016-10-01,25,319.95
"101/LD343",55388,"Female",44,2016-10-01,25,0
"101/LD343",55389,"Male",57,2016-10-01,25,0
"101/LD343",55390,"Female",42,2016-10-01,25,3214.74
"101/LV559",29874,"Male",53,2017-01-01,22,1311.26
"101/LV559",29875,"Female",52,2017-01-01,22,2127.39
"101/LV559",29876,"Male",43,2017-01-01,22,0
"101/LV559",29877,"Male",44,2017-01-01,22,4093.05
"101/LV559",29878,"Male",39,2017-01-01,22,0
"101/PY647",11366,"Female",31,2016-11-01,24,1107.61
"101/PY647",11367,"Female",34,2016-11-01,24,713.43
"101/PY647",11368,"Male",42,2016-11-01,24,1048.87
"101/PY647",11369,"Male",37,2016-11-01,24,1786.81
"101/PY647",11370,"Male",42,2016-11-01,24,0
"101/RQ309",3365,"Male",34,2016-03-01,32,3201.34
"101/RQ309",3366,"Female",48,2016-03-01,32,6164.37
"101/RQ309",3367,"Female",46,2016-03-01,32,457.24
"101/RQ309",3368,"Male",58,2016-03-01,32,616.73
"101/RQ309",3369,"Female",48,2016-03-01,32,880.91
"101/SD782",37540,"Male",33,2017-02-01,21,856.81
"101/SD782",37541,"Female",49,2017-02-01,21,0
"101/SD782",37542,"Female",42,2017-02-01,21,357.61
"101/SD782",37543,"Male",55,2017-02-01,21,0
"101/SQ752",30741,"Female",43,2016-11-01,24,831.19
"101/SQ752",30742,"Female",22,2016-11-01,24,0
"101/SQ752",30743,"Female",26,2016-11-01,24,290.28
"101/SQ752",30744,"Male",30,2016-11-01,24,841.04
"101/SQ752",30745,"Female",49,2016-11-01,24,0
"101/TJ155",24441,"Female",44,2016-11-01,24,554.26
"101/TJ155",24442,"Female",55,2016-11-01,24,1888.69
"101/TJ155",24443,"Male",40,2016-11-01,24,995.93
"101/TJ155",24444,"Male",48,2016-11-01,24,982.56
"101/UJ294",48787,"Male",43,2017-04-01,19,0
"101/UJ294",48788,"Female",20,2017-04-01,19,2295.93
"101/UJ294",48789,"Female",39,2017-04-01,19,909.59
"101/UJ294",48790,"Male",62,2017-04-01,19,0
"101/UJ294",48791,"Male",47,2017-04-01,19,2012.46
"101/UJ294",48792,"Male",40,2017-04-01,19,630.26
"101/UJ294",48793,"Male",35,2017-04-01,19,0
"101/UN559",12913,"Male",62,2017-01-01,22,2155.6
"101/UN559",12914,"Male",52,2017-01-01,22,1644.12
"101/UN559",12915,"Male",29,2017-01-01,22,0
"101/UN559",12916,"Male",49,2017-01-01,22,0
"101/UN559",12917,"Male",32,2017-01-01,22,695.78
"101/UN559",12918,"Female",34,2017-01-01,22,0
"101/ZM920",14970,"Male",45,2016-06-01,29,931.86
"101/ZM920",14971,"Male",45,2016-06-01,29,2189.3
"101/ZM920",14972,"Female",55,2016-06-01,29,1013.72
"101/ZM920",14973,"Female",38,2016-06-01,29,1768.73
"102/AR418",50188,"Male",42,2016-06-01,29,2713.57
"102/AR418",50189,"Male",36,2016-06-01,29,0
"102/AR418",50190,"Female",23,2016-06-01,29,802.67
"102/BP927",208,"Female",40,2016-07-01,28,906.47
"102/BP927",209,"Female",39,2016-07-01,28,0
"102/BP927",210,"Male",45,2016-07-01,28,6235.04
"102/CB338",64066,"Male",50,2016-10-01,25,5064.22
"102/CB338",64067,"Male",45,2016-10-01,25,838.42
"102/CB338",64068,"Female",49,2016-10-01,25,0
"102/CB338",64069,"Male",62,2016-10-01,25,2082.96
"102/CB338",64070,"Female",49,2016-10-01,25,1368.14
"102/CB338",64071,"Male",49,2016-10-01,25,2808.46
"102/CB338",64072,"Male",61,2016-10-01,25,2300.62
"102/CR182",33419,"Male",40,2017-02-01,21,0
"102/CR182",33420,"Male",26,2017-02-01,21,368.8
"102/CR182",33421,"Male",42,2017-02-01,21,2280.21
"102/CR182",33422,"Male",46,2017-02-01,21,1043.87
"102/CR182",33423,"Female",47,2017-02-01,21,1610.82
"102/EV736",71677,"Female",59,2016-08-01,27,0
"102/EV736",71678,"Male",40,2016-08-01,27,0
"102/EV736",71679,"Male",59,2016-08-01,27,2075.77
"102/EV736",71680,"Male",40,2016-08-01,27,0
"102/EY703",24060,"Male",60,2016-01-01,34,2448.08
"102/EY703",24061,"Male",36,2016-01-01,34,0
"102/EY703",24062,"Male",39,2016-01-01,34,0
"102/EY703",24063,"Male",28,2016-01-01,34,0
"102/EZ133",13554,"Female",42,2016-08-01,27,852.32
"102/EZ133",13555,"Male",31,2016-08-01,27,1243.76
"102/EZ133",13556,"Male",35,2016-08-01,27,0
"102/EZ133",13557,"Female",36,2016-08-01,27,0
"102/EZ133",13558,"Male",41,2016-08-01,27,952.56
"102/EZ133",13559,"Male",47,2016-08-01,27,1110.93
"102/IR435",7745,"Male",33,2016-08-01,27,1894.72
"102/IR435",7746,"Female",36,2016-08-01,27,1875.47
"102/IR435",7747,"Male",50,2016-08-01,27,0
"102/IR435",7748,"Male",49,2016-08-01,27,0
"102/IR435",7749,"Female",35,2016-08-01,27,0
"102/IR435",7750,"Male",48,2016-08-01,27,822.75
"102/IR435",7751,"Female",27,2016-08-01,27,0
"102/IR435",7752,"Female",48,2016-08-01,27,0
"102/LB348",67556,"Female",39,2016-11-01,24,1750.1
"102/LB348",67557,"Female",62,2016-11-01,24,2503.94
"102/LB348",67558,"Male",54,2016-11-01,24,1183.92
"102/LB348",67559,"Female",52,2016-11-01,24,0
"102/LB348",67560,"Female",50,2016-11-01,24,1799.8
"102/ML865",58587,"Male",48,2017-01-01,22,1765.62
"102/ML865",58588,"Male",29,2017-01-01,22,777.17
"102/ML865",58589,"Male",53,2017-01-01,22,0
"102/ML865",58590,"Female",63,2017-01-01,22,0
"102/ML865",58591,"Female",33,2017-01-01,22,0
"102/PG557",61712,"Female",50,2016-11-01,24,0
"102/PG557",61713,"Female",45,2016-11-01,24,446.8
"102/PG557",61714,"Male",57,2016-11-01,24,0
"102/PG557",61715,"Male",26,2016-11-01,24,0
"102/PG557",61716,"Male",63,2016-11-01,24,943.84
"102/RQ981",74324,"Male",27,2017-02-01,21,1747.43
"102/RQ981",74325,"Male",58,2017-02-01,21,950.27
"102/RQ981",74326,"Male",32,2017-02-01,21,1812.77
"102/RQ981",74327,"Male",55,2017-02-01,21,0
"102/UP722",63211,"Male",35,2016-06-01,29,642.79
"102/UP722",63212,"Male",47,2016-06-01,29,2740.35
"102/UP722",63213,"Male",37,2016-06-01,29,1077.19
"102/UP722",63214,"Male",40,2016-06-01,29,837.74
"102/UP722",63215,"Male",55,2016-06-01,29,1285.54
"102/UP722",63216,"Male",37,2016-06-01,29,607.65
"102/VD794",40350,"Male",52,2017-04-01,19,2319.81
"102/VD794",40351,"Male",49,2017-04-01,19,2418.1
"102/VD794",40352,"Male",33,2017-04-01,19,184.86
"102/WN883",3929,"Female",48,2017-02-01,21,3815.52
"102/WN883",3930,"Male",54,2017-02-01,21,0
"102/WN883",3931,"Male",46,2017-02-01,21,0
"102/WN883",3932,"Male",33,2017-02-01,21,1873.3
"102/XH122",3691,"Male",32,2016-06-01,29,2497.98
"102/XH122",3692,"Female",53,2016-06-01,29,0
"102/XH122",3693,"Female",34,2016-06-01,29,1724.46
"102/XH122",3694,"Male",52,2016-06-01,29,0
"102/XH122",3695,"Male",45,2016-06-01,29,850.16
"102/XH122",3696,"Male",48,2016-06-01,29,1541.92
"102/XH122",3697,"Female",29,2016-06-01,29,0
"102/XM556",62448,"Male",61,2016-11-01,24,0
"102/XM556",62449,"Male",36,2016-11-01,24,491.32
"102/XM556",62450,"Female",48,2016-11-01,24,1296.79
"102/YQ268",18551,"Female",57,2017-01-01,22,1559.83
"102/YQ268",18552,"Female",45,2017-01-01,22,1139.95
"102/YQ268",18553,"Male",43,2017-01-01,22,258.2
"102/ZE921",62604,"Female",46,2016-06-01,29,0
"102/ZE921",62605,"Male",43,2016-06-01,29,2333.48
"102/ZE921",62606,"Female",38,2016-06-01,29,1604.69
"102/ZE921",62607,"Female",43,2016-06-01,29,0
"103/AE323",19882,"Male",42,2016-07-01,28,2820.29
"103/AE323",19883,"Male",32,2016-07-01,28,489.75
"103/AE323",19884,"Female",41,2016-07-01,28,826.81
"103/AE323",19885,"Female",58,2016-07-01,28,3317.14
"103/BD449",57620,"Female",57,2016-11-01,24,1029.44
"103/BD449",57621,"Male",38,2016-11-01,24,2200.68
"103/BD449",57622,"Female",37,2016-11-01,24,1508.36
"103/BD449",57623,"Female",38,2016-11-01,24,180.71
"103/BD449",57624,"Male",43,2016-11-01,24,0
"103/BP358",56139,"Female",49,2017-01-01,22,0
"103/BP358",56140,"Male",31,2017-01-01,22,489.52
"103/BP358",56141,"Male",52,2017-01-01,22,2427.24
"103/BP358",56142,"Female",46,2017-01-01,22,5009.94
"103/BP358",56143,"Female",50,2017-01-01,22,0
"103/MA315",46816,"Male",54,2016-04-01,31,762.89
"103/MA315",46817,"Female",35,2016-04-01,31,0
"103/MA315",46818,"Female",31,2016-04-01,31,1302.14
"103/MA315",46819,"Male",50,2016-04-01,31,2583.86
"103/MA315",46820,"Female",55,2016-04-01,31,0
"103/MV168",70193,"Female",22,2017-01-01,22,82.59
"103/MV168",70194,"Female",37,2017-01-01,22,307.86
"103/MV168",70195,"Female",45,2017-01-01,22,1198.13
"103/MV168",70196,"Male",42,2017-01-01,22,1736.09
"103/MV168",70197,"Female",20,2017-01-01,22,147.22
"103/MV168",70198,"Female",51,2017-01-01,22,0
"103/OX707",48380,"Male",42,2016-02-01,33,0
"103/OX707",48381,"Female",34,2016-02-01,33,0
"103/OX707",48382,"Male",42,2016-02-01,33,2012.03
"103/OX707",48383,"Female",45,2016-02-01,33,694.73
"103/OX707",48384,"Female",44,2016-02-01,33,0
"103/QZ182",43940,"Male",37,2017-02-01,21,0
"103/QZ182",43941,"Male",35,2017-02-01,21,515.77
"103/QZ182",43942,"Male",43,2017-02-01,21,3980.44
"103/QZ182",43943,"Male",38,2017-02-01,21,997.31
"103/QZ182",43944,"Male",34,2017-02-01,21,2300.03
"103/QZ182",43945,"Female",53,2017-02-01,21,5009.88
"103/RO279",8842,"Female",39,2017-02-01,21,805.03
"103/RO279",8843,"Female",43,2017-02-01,21,3111.86
"103/RO279",8844,"Female",44,2017-02-01,21,0
"103/RO279",8845,"Female",41,2017-02-01,21,1663.31
"103/SP507",881,"Male",40,2016-02-01,33,611.98
"103/SP507",882,"Female",25,2016-02-01,33,1007.89
"103/SP507",883,"Female",60,2016-02-01,33,0
"103/SP507",884,"Male",51,2016-02-01,33,1697.43
"103/SP507",885,"Female",42,2016-02-01,33,0
"103/UA540",4579,"Female",21,2016-10-01,25,1138.35
"103/UA540",4580,"Female",41,2016-10-01,25,1356.46
"103/UA540",4581,"Female",51,2016-10-01,25,1354.88
"103/UA540",4582,"Male",48,2016-10-01,25,1799.17
"103/UA540",4583,"Female",30,2016-10-01,25,2651.64
"103/UP694",76335,"Female",49,2017-04-01,19,924.41
"103/UP694",76336,"Male",44,2017-04-01,19,697.15
"103/UP694",76337,"Female",32,2017-04-01,19,417.36
"103/WX452",75871,"Female",45,2016-11-01,24,389.66
"103/WX452",75872,"Male",35,2016-11-01,24,998.7
"103/WX452",75873,"Female",42,2016-11-01,24,992.42
"103/WX452",75874,"Female",61,2016-11-01,24,2456.02
"104/AN829",14654,"Female",51,2016-07-01,28,0
"104/AN829",14655,"Male",44,2016-07-01,28,0
"104/AN829",14656,"Male",38,2016-07-01,28,4189.63
"104/AN829",14657,"Male",45,2016-07-01,28,808.92
"104/AP103",15700,"Male",33,2016-01-01,34,3284.3
"104/AP103",15701,"Male",48,2016-01-01,34,2250.8
"104/AP103",15702,"Female",32,2016-01-01,34,173.6
"104/AP103",15703,"Male",54,2016-01-01,34,0
"104/AZ555",76623,"Male",42,2016-11-01,24,1279.79
"104/AZ555",76624,"Male",29,2016-11-01,24,0
"104/AZ555",76625,"Male",49,2016-11-01,24,3030.51
"104/AZ555",76626,"Male",57,2016-11-01,24,3480.75
"104/BI724",31098,"Female",34,2016-07-01,28,1627.04
"104/BI724",31099,"Male",41,2016-07-01,28,1241.51
"104/BI724",31100,"Female",30,2016-07-01,28,2415.71
"104/BI724",31101,"Female",47,2016-07-01,28,2287.05
"104/BI724",31102,"Male",50,2016-07-01,28,1374.57
"104/BI724",31103,"Male",48,2016-07-01,28,5319.89
"104/BJ468",42952,"Female",60,2017-01-01,22,4612.84
"104/BJ468",42953,"Male",50,2017-01-01,22,352.23
"104/BJ468",42954,"Female",38,2017-01-01,22,0
"104/BJ468",42955,"Male",37,2017-01-01,22,0
"104/BJ468",42956,"Male",58,2017-01-01,22,1053.9
"104/DO921",39292,"Male",42,2016-06-01,29,2202.02
"104/DO921",39293,"Female",64,2016-06-01,29,0
"104/DO921",39294,"Female",37,2016-06-01,29,0
"104/EO136",8359,"Male",20,2016-08-01,27,851.49
"104/EO136",8360,"Male",38,2016-08-01,27,0
"104/EO136",8361,"Male",52,2016-08-01,27,883.59
"104/EO136",8362,"Female",38,2016-08-01,27,0
"104/EO136",8363,"Female",25,2016-08-01,27,1286.88
"104/EO136",8364,"Female",44,2016-08-01,27,4604.54
"104/FY252",76084,"Male",40,2016-11-01,24,777.11
"104/FY252",76085,"Female",50,2016-11-01,24,2889.97
"104/FY252",76086,"Male",45,2016-11-01,24,2926.34
"104/FY252",76087,"Male",38,2016-11-01,24,0
"104/FY252",76088,"Male",40,2016-11-01,24,1481.76
"104/FY252",76089,"Male",49,2016-11-01,24,1312.11
"104/FY252",76090,"Male",56,2016-11-01,24,1580.14
"104/GY645",48227,"Female",42,2016-10-01,25,0
"104/GY645",48228,"Female",31,2016-10-01,25,0
"104/GY645",48229,"Female",59,2016-10-01,25,0
"104/GY645",48230,"Male",34,2016-10-01,25,2703.73
"104/GY645",48231,"Male",37,2016-10-01,25,1655.48
"104/GY645",48232,"Female",47,2016-10-01,25,0
"104/IB817",12442,"Male",45,2016-06-01,29,1359.43
"104/IB817",12443,"Male",25,2016-06-01,29,883.52
"104/IB817",12444,"Female",33,2016-06-01,29,0
"104/IB817",12445,"Female",61,2016-06-01,29,1985.65
"104/JM338",4842,"Female",23,2016-10-01,25,0
"104/JM338",4843,"Female",23,2016-10-01,25,0
"104/JM338",4844,"Male",60,2016-10-01,25,1137.31
"104/JM338",4845,"Female",35,2016-10-01,25,2660.27
"104/JM338",4846,"Male",51,2016-10-01,25,7131.38
"104/JM338",4847,"Female",45,2016-10-01,25,1960.16
"104/MF319",70121,"Male",28,2016-06-01,29,2035.12
"104/MF319",70122,"Female",34,2016-06-01,29,1062.31
"104/MF319",70123,"Male",43,2016-06-01,29,2997.94
"104/MF319",70124,"Male",49,2016-06-01,29,0
"104/OY177",47279,"Male",52,2017-02-01,21,731.5
"104/OY177",47280,"Male",49,2017-02-01,21,0
"104/OY177",47281,"Male",36,2017-02-01,21,1258.96
"104/OY177",47282,"Female",48,2017-02-01,21,554.98
"104/OY177",47283,"Male",44,2017-02-01,21,3771.06
"104/PD744",52583,"Female",43,2016-10-01,25,926.24
"104/PD744",52584,"Female",49,2016-10-01,25,0
"104/PD744",52585,"Female",51,2016-10-01,25,0
"104/PD744",52586,"Male",42,2016-10-01,25,880.66
"104/PD744",52587,"Male",40,2016-10-01,25,0
"104/PD744",52588,"Male",31,2016-10-01,25,0
"104/PD744",52589,"Male",53,2016-10-01,25,2467.05
"104/PD744",52590,"Male",48,2016-10-01,25,2771.92
"104/QP496",22442,"Male",38,2017-04-01,19,421.7
"104/QP496",22443,"Female",35,2017-04-01,19,688.91
"104/QP496",22444,"Female",56,2017-04-01,19,0
"104/QP496",22445,"Female",39,2017-04-01,19,2069.38
"104/QQ833",65413,"Male",59,2016-08-01,27,2884.69
"104/QQ833",65414,"Female",40,2016-08-01,27,945.38
"104/QQ833",65415,"Female",44,2016-08-01,27,2075.14
"104/QQ833",65416,"Male",43,2016-08-01,27,3377.37
"104/QQ833",65417,"Male",47,2016-08-01,27,1035.48
"104/QQ833",65418,"Female",35,2016-08-01,27,720.9
"104/RG329",16036,"Female",51,2016-07-01,28,4495.09
"104/RG329",16037,"Female",37,2016-07-01,28,0
"104/RG329",16038,"Male",38,2016-07-01,28,4297.39
"104/RG329",16039,"Male",34,2016-07-01,28,2877.04
"104/WN157",29482,"Female",59,2016-11-01,24,1165.87
"104/WN157",29483,"Female",46,2016-11-01,24,0
"104/WN157",29484,"Male",47,2016-11-01,24,1348.02
"104/WN157",29485,"Male",28,2016-11-01,24,1855.55
"104/WN157",29486,"Female",43,2016-11-01,24,1080.59
"104/WN157",29487,"Male",40,2016-11-01,24,2588.54
"104/WN157",29488,"Male",43,2016-11-01,24,0
"104/WN157",29489,"Female",42,2016-11-01,24,2188.72
"105/AB298",18808,"Female",47,2017-04-01,19,0
"105/AB298",18809,"Female",43,2017-04-01,19,1322.51
"105/AB298",18810,"Male",29,2017-04-01,19,0
"105/AB298",18811,"Male",64,2017-04-01,19,5024.34
"105/BA292",13039,"Female",32,2015-06-01,41,500.3
"105/BA292",13040,"Female",32,2015-06-01,41,0
"105/BA292",13041,"Female",46,2015-06-01,41,977.45
"105/BA292",13042,"Female",35,2015-06-01,41,1236.57
"105/FB936",53866,"Male",28,2016-08-01,27,964.63
"105/FB936",53867,"Female",43,2016-08-01,27,1146.63
"105/FB936",53868,"Male",29,2016-08-01,27,168.49
"105/FB936",53869,"Male",41,2016-08-01,27,2289.86
"105/FH447",38871,"Male",54,2016-11-01,24,0
"105/FH447",38872,"Female",40,2016-11-01,24,728.54
"105/FH447",38873,"Female",55,2016-11-01,24,535.7
"105/FH447",38874,"Male",30,2016-11-01,24,0
"105/FH447",38875,"Male",28,2016-11-01,24,2201.24
"105/GX565",57084,"Male",39,2017-01-01,22,0
"105/GX565",57085,"Male",44,2017-01-01,22,3287
"105/GX565",57086,"Female",30,2017-01-01,22,1006
"105/IC953",8728,"Female",26,2016-11-01,24,1873.66
"105/IC953",8729,"Female",37,2016-11-01,24,0
"105/IC953",8730,"Female",48,2016-11-01,24,1885.09
"105/IC953",8731,"Male",50,2016-11-01,24,0
"105/IJ857",69073,"Male",54,2016-11-01,24,1587.42
"105/IJ857",69074,"Male",51,2016-11-01,24,0
"105/IJ857",69075,"Male",37,2016-11-01,24,0
"105/IJ857",69076,"Male",32,2016-11-01,24,363.76
"105/IJ857",69077,"Male",36,2016-11-01,24,1531.13
"105/IJ857",69078,"Female",33,2016-11-01,24,1997.82
"105/IJ857",69079,"Female",29,2016-11-01,24,726.14
"105/IJ857",69080,"Male",34,2016-11-01,24,1060.94
"105/IJ857",69081,"Female",51,2016-11-01,24,3740.46
"105/KT521",47941,"Female",58,2016-06-01,29,0
"105/KT521",47942,"Male",38,2016-06-01,29,0
"105/KT521",47943,"Female",26,2016-06-01,29,0
"105/KT521",47944,"Male",27,2016-06-01,29,981.4
"105/KT521",47945,"Female",36,2016-06-01,29,601.09
"105/KT521",47946,"Male",59,2016-06-01,29,0
"105/LE693",46746,"Male",35,2017-04-01,19,0
"105/LE693",46747,"Male",47,2017-04-01,19,825.88
"105/LE693",46748,"Male",38,2017-04-01,19,2248.75
"105/LI506",49602,"Male",45,2016-02-01,33,961.85
"105/LI506",49603,"Male",40,2016-02-01,33,370.57
"105/LI506",49604,"Female",51,2016-02-01,33,2410.66
"105/LI506",49605,"Female",45,2016-02-01,33,1590.9
"105/LI506",49606,"Female",44,2016-02-01,33,1712.97
"105/MC903",1848,"Male",52,2016-01-01,34,1492
"105/MC903",1849,"Male",38,2016-01-01,34,957.99
"105/MC903",1850,"Male",39,2016-01-01,34,0
"105/MC903",1851,"Female",34,2016-01-01,34,0
"105/MC903",1852,"Male",40,2016-01-01,34,1504.94
"105/MJ722",48641,"Female",33,2016-06-01,29,733.72
"105/MJ722",48642,"Female",38,2016-06-01,29,771.73
"105/NX518",15900,"Male",31,2016-06-01,29,0
"105/NX518",15901,"Female",35,2016-06-01,29,0
"105/NX518",15902,"Male",38,2016-06-01,29,0
"105/NX518",15903,"Female",21,2016-06-01,29,0
"105/QG783",32598,"Male",60,2017-02-01,21,601.43
"105/QG783",32599,"Female",26,2017-02-01,21,0
"105/QG783",32600,"Male",38,2017-02-01,21,204.56
"105/RE810",30192,"Female",52,2016-03-01,32,695.99
"105/RE810",30193,"Female",48,2016-03-01,32,0
"105/RE810",30194,"Male",57,2016-03-01,32,0
"105/RL818",7087,"Male",54,2016-06-01,29,8426.36
"105/RL818",7088,"Male",25,2016-06-01,29,443
"105/RL818",7089,"Female",53,2016-06-01,29,1033.77
"105/RL818",7090,"Male",47,2016-06-01,29,0
"105/RL818",7091,"Male",47,2016-06-01,29,4112.56
"105/RL818",7092,"Male",55,2016-06-01,29,567.77
"105/WH452",2816,"Male",61,2016-11-01,24,2432.14
"105/WH452",2817,"Female",48,2016-11-01,24,0
"105/WH452",2818,"Female",46,2016-11-01,24,2761.16
"105/WH452",2819,"Female",44,2016-11-01,24,346.43
"105/YJ860",11855,"Male",52,2017-01-01,22,1331.95
"105/YJ860",11856,"Female",27,2017-01-01,22,629.12
"105/YJ860",11857,"Male",49,2017-01-01,22,849.25
"105/YJ860",11858,"Male",51,2017-01-01,22,2107.99
"105/YJ860",11859,"Male",29,2017-01-01,22,330.6
